invoice_id,project_id,invoice_date,amount_pln,status
FA/2025/00000036,PRJ030,2025-05-01,41690.0,Paid
FA/2025/00000037,PRJ031,2025-05-01,15807.0,Pending
FA/2025/00000038,PRJ035,2025-05-01,69211.0,Paid
FA/2025/00000039,PRJ027,2025-05-02,6113.0,Paid
FA/2025/00000040,PRJ029,2025-05-02,38002.0,Paid
FA/2025/00000041,PRJ021,2025-05-30,6242.33,Pending
FA/2025/00000042,PRJ022,2025-05-30,15711.0,Paid
FA/2025/00000043,PRJ032,2025-05-30,30855.0,Paid
FA/2025/00000044,PRJ023,2025-05-31,37302.0,Paid
FA/2025/00000045,PRJ024,2025-05-31,39965.71,Paid
FA/2025/00000046,PRJ028,2025-05-31,16607.0,Paid
FA/2025/00000047,PRJ030,2025-05-31,33820.0,Paid
FA/2025/00000048,PRJ031,2025-05-31,6471.0,Paid
FA/2025/00000049,PRJ035,2025-05-31,69906.0,Paid
FA/2025/00000050,PRJ027,2025-06-01,11737.0,Paid
FA/2025/00000051,PRJ029,2025-06-01,41349.0,Paid
FA/2025/00000052,PRJ021,2025-06-29,2874.33,Paid
FA/2025/00000053,PRJ022,2025-06-29,12351.0,Paid
FA/2025/00000054,PRJ032,2025-06-29,24844.0,Paid
FA/2025/00000055,PRJ023,2025-06-30,33079.0,Paid
FA/2025/00000056,PRJ024,2025-06-30,38699.71,Paid
FA/2025/00000057,PRJ028,2025-06-30,21777.0,Paid
FA/2025/00000058,PRJ030,2025-06-30,39683.0,Paid
FA/2025/00000059,PRJ031,2025-06-30,11267.0,Pending
FA/2025/00000060,PRJ035,2025-06-30,64341.0,Paid
FA/2025/00000061,PRJ027,2025-07-01,13282.0,Paid
FA/2025/00000062,PRJ029,2025-07-01,34971.0,Paid
FA/2025/00000063,PRJ021,2025-07-29,5753.33,Pending
FA/2025/00000064,PRJ022,2025-07-29,14430.0,Paid
FA/2025/00000065,PRJ023,2025-07-30,35044.0,Paid
FA/2025/00000066,PRJ028,2025-07-30,18050.0,Paid
FA/2025/00000067,PRJ030,2025-07-30,42369.0,Paid
FA/2025/00000068,PRJ031,2025-07-30,13240.0,Pending
FA/2025/00000069,PRJ035,2025-07-30,71837.0,Paid
FA/2025/00000070,PRJ027,2025-07-31,11376.0,Paid
FA/2025/00000071,PRJ029,2025-07-31,35003.0,Paid
FA/2025/00000072,PRJ028,2025-08-29,18543.0,Pending
FA/2025/00000073,PRJ030,2025-08-29,33120.0,Overdue
FA/2025/00000074,PRJ031,2025-08-29,15322.0,Paid
FA/2025/00000075,PRJ027,2025-08-30,12395.0,Paid
FA/2025/00000076,PRJ029,2025-08-30,33552.0,Pending
FA/2025/00000077,PRJ031,2025-09-28,9988.0,Pending
FA/2025/00000078,PRJ031,2025-10-28,10846.0,Paid
FA/2025/00000079,PRJ031,2025-11-27,6850.0,Pending
