timesheet_id,employee_id,project_id,date,hours,type
TS00061,EMP018,PRJ024,2025-06-27,4.5,billable
TS00062,EMP016,PRJ019,2024-12-12,6.6,billable
TS00063,EMP022,PRJ026,2025-07-24,3.6,internal
TS00064,EMP012,PRJ017,21/08/2025,3.7,billable
TS00065,EMP001,PRJ021,16/09/2025,2.5,billable
TS00066,EMP014,PRJ008,23/05/2024,1.3,billable
TS00067,EMP018,PRJ009,03.02.2025,4.2,billable
TS00068,EMP019,PRJ010,28.02.2025,5.6,internal
TS00069,EMP002,PRJ024,12/08/2024,4.1,internal
TS00070,EMP018,PRJ023,2024-03-05,3.8,billable
TS00071,EMP003,PRJ014,2025-10-21,5.5,internal
TS00072,EMP005,PRJ014,11.03.2024,6.8,billable
TS00073,EMP011,PRJ010,2025-09-02,1.0,internal
TS00074,EMP006,PRJ008,07/11/2025,7.1,billable
TS00075,EMP011,PRJ002,27/06/2024,2.9,billable
TS00076,EMP016,PRJ029,07.01.2025,4.6,billable
TS00077,EMP024,PRJ034,2024-11-04,4.2,internal
TS00078,EMP014,PRJ007,2025-05-19,6.0,billable
TS00079,EMP005,PRJ018,01/10/2025,5.4,billable
TS00080,EMP010,PRJ030,03.06.2025,5.2,billable
TS00081,EMP025,PRJ014,18/03/2025,4.2,billable
TS00082,EMP024,PRJ007,18/11/2024,4.0,billable
TS00083,EMP016,PRJ005,2024-04-03,6.8,billable
TS00084,EMP005,PRJ004,25.08.2025,7.7,billable
TS00085,EMP022,PRJ028,22/02/2024,7.8,billable
TS00086,EMP005,PRJ031,19.08.2024,6.9,billable
TS00087,EMP019,PRJ015,17.03.2025,6.9,internal
TS00088,EMP001,PRJ018,30/01/2024,2.3,billable
TS00089,EMP006,PRJ010,04.08.2025,5.6,billable
TS00090,EMP024,PRJ034,2024-08-08,3.6,billable
TS00091,EMP025,PRJ006,2024-02-23,2.1,internal
TS00092,EMP022,PRJ028,2025-05-12,5.2,billable
TS00093,EMP014,PRJ008,17.10.2024,5.7,billable
TS00094,EMP013,PRJ004,2024-01-08,2.4,internal
TS00095,EMP004,PRJ001,26/05/2025,6.2,billable
TS00096,EMP018,PRJ023,14/03/2024,3.8,
TS00097,EMP011,PRJ028,12/08/2025,3.8,billable
TS00098,EMP011,PRJ011,24/09/2025,4.2,billable
TS00099,EMP008,PRJ028,26/08/2025,3.8,billable
TS00100,EMP025,PRJ011,19.03.2024,4.6,billable
TS00100,EMP025,PRJ011,19.03.2024,4.6,billable
TS00101,EMP012,PRJ010,2024-08-29,1.7,billable
TS00102,EMP021,PRJ005,02/07/2024,7.7,billable
TS00103,EMP015,PRJ021,06/10/2025,3.2,billable
TS00104,EMP009,PRJ004,26/12/2024,4.6,billable
TS00105,EMP010,PRJ005,22.10.2025,7.0,internal
TS00106,EMP019,PRJ003,2025-04-07,7.4,billable
TS00107,EMP005,PRJ004,08/04/2025,1.7,internal
TS00108,EMP021,PRJ012,12/02/2024,2.7,billable
TS00109,EMP012,PRJ024,16.10.2024,3.7,internal
TS00110,EMP021,PRJ022,08/03/2024,3.3,billable
TS00111,EMP022,PRJ010,09/12/2024,1.6,billable
TS00112,EMP022,PRJ026,14/05/2024,5.2,internal
TS00113,EMP011,PRJ009,17.11.2025,5.9,internal
TS00114,EMP022,PRJ028,2025-06-04,3.5,billable
TS00115,EMP025,PRJ032,2024-07-15,2.6,billable
TS00116,EMP017,PRJ035,23.06.2025,1.3,billable
TS00117,EMP006,PRJ012,2025-12-10,6.4,internal
TS00118,EMP012,PRJ016,01/04/2025,5.3,internal
TS00119,EMP016,PRJ013,13/01/2025,5.7,billable
TS00120,EMP013,PRJ033,2025-06-24,3.9,billable
TS00121,EMP009,PRJ004,2025-10-20,4.4,billable
TS00122,EMP004,PRJ019,26.03.2024,6.3,billable
TS00123,EMP008,PRJ029,23/12/2024,7.5,billable
TS00124,EMP003,PRJ024,19.08.2024,1.2,internal
TS00125,EMP005,PRJ003,2024-10-22,7.4,billable
TS00126,EMP020,PRJ001,2024-03-22,1.1,billable
TS00127,EMP017,PRJ028,2024-04-23,6.4,billable
TS00128,EMP020,PRJ030,05.03.2024,1.8,internal
TS00129,EMP019,PRJ016,27/05/2024,3.0,billable
TS00130,EMP022,PRJ006,20.06.2025,7.8,billable
TS00131,EMP017,PRJ002,03/02/2025,7.1,billable
TS00132,EMP001,PRJ023,12.03.2024,3.4,billable
TS00133,EMP025,PRJ022,16.05.2024,1.3,billable
TS00134,EMP015,PRJ031,08.10.2025,2.3,billable
TS00135,EMP010,PRJ013,14/02/2024,6.5,internal
TS00136,EMP018,PRJ031,16/09/2024,1.3,billable
TS00137,EMP021,PRJ022,08/10/2024,1.9,billable
TS00138,EMP013,PRJ022,10.07.2024,4.5,billable
TS00139,EMP014,PRJ006,18.03.2025,5.2,internal
TS00140,EMP011,PRJ019,2024-11-11,4.1,billable
TS00141,EMP002,PRJ023,2025-09-23,8.0,billable
TS00142,EMP012,PRJ033,26.11.2025,2.1,billable
TS00143,EMP005,PRJ005,29/08/2024,6.4,billable
TS00144,EMP005,PRJ029,14.01.2025,3.6,internal
TS00145,EMP011,PRJ018,2024-09-12,7.7,billable
TS00146,EMP018,PRJ008,2024-09-25,6.4,billable
TS00147,EMP016,PRJ013,2024-05-07,2.0,billable
TS00148,EMP003,PRJ021,14.11.2025,3.4,billable
TS00149,EMP006,PRJ012,2025-01-07,4.6,billable
TS00150,EMP016,PRJ002,06.01.2025,4.9,billable
TS00151,EMP003,PRJ020,11.02.2025,8.0,billable
TS00152,EMP019,PRJ005,08/05/2024,7.8,billable
TS00153,EMP005,PRJ012,2024-05-14,4.0,internal
TS00154,EMP010,PRJ011,14/06/2024,3.3,billable
TS00155,EMP010,PRJ006,13/09/2024,2.4,internal
TS00156,EMP018,PRJ006,29.05.2025,5.5,billable
TS00157,EMP024,PRJ022,2025-07-31,1.3,internal
TS00158,EMP019,PRJ017,28.10.2025,2.5,billable
TS00159,EMP021,PRJ035,2024-10-23,5.5,billable
TS00160,EMP010,PRJ030,15/03/2024,5.8,billable
TS00161,EMP020,PRJ010,18/11/2024,7.0,billable
TS00162,EMP012,PRJ033,2025-07-29,1.7,billable
TS00163,EMP004,PRJ004,24/10/2024,7.6,internal
TS00164,EMP006,PRJ021,2025-08-14,6.0,billable
TS00165,EMP016,PRJ020,26.05.2025,1.2,internal
TS00166,EMP019,PRJ023,19.02.2024,1.4,billable
TS00167,EMP001,PRJ007,17/03/2025,1.9,billable
TS00168,EMP013,PRJ004,06/08/2025,4.9,billable
TS00169,EMP025,PRJ018,2025-09-30,5.8,billable
TS00170,EMP011,PRJ024,27.05.2024,2.4,billable
TS00171,EMP023,PRJ022,30.04.2025,4.6,billable
TS00172,EMP011,PRJ011,06/02/2025,7.9,billable
TS00173,EMP017,PRJ035,2025-05-16,6.0,billable
TS00174,EMP014,PRJ020,05/12/2025,5.4,billable
TS00175,EMP025,PRJ015,22.02.2024,5.1,billable
TS00176,EMP013,PRJ010,28.11.2025,2.7,billable
TS00177,EMP011,PRJ027,04.06.2024,3.9,billable
TS00178,EMP024,PRJ004,23/12/2025,2.0,billable
TS00179,EMP013,PRJ021,26.06.2024,4.2,billable
TS00180,EMP024,PRJ017,16/09/2025,4.4,internal
TS00181,EMP010,PRJ019,22/12/2025,2.5,billable
TS00182,EMP024,PRJ018,21/10/2024,1.9,billable
TS00183,EMP012,PRJ010,2024-10-24,1.3,internal
TS00184,EMP009,PRJ031,07.08.2024,2.4,billable
TS00185,EMP020,PRJ016,2024-09-05,1.4,internal
TS00186,EMP014,PRJ022,2025-04-28,1.7,internal
TS00187,EMP006,PRJ027,30/10/2025,7.5,internal
TS00188,EMP010,PRJ021,2024-10-21,5.5,internal
TS00189,EMP024,PRJ003,2024-06-28,3.9,internal
TS00190,EMP016,PRJ012,23.10.2024,7.1,billable
TS00191,EMP011,PRJ019,10/04/2025,7.9,billable
TS00192,EMP017,PRJ030,2024-10-08,2.3,billable
TS00193,EMP023,PRJ012,15.01.2024,6.2,internal
TS00194,EMP020,PRJ026,13.03.2025,4.6,billable
TS00195,EMP016,PRJ021,11/09/2024,1.0,billable
TS00196,EMP010,PRJ001,2024-09-24,5.6,billable
TS00197,EMP006,PRJ026,03.12.2025,4.5,internal
TS00198,EMP021,PRJ019,2025-01-13,5.3,billable
TS00199,EMP020,PRJ024,03.03.2025,5.9,internal
TS00200,EMP025,PRJ016,2025-11-27,6.3,internal
TS00200,EMP025,PRJ016,2025-11-27,6.3,internal
TS00201,EMP012,PRJ005,31.07.2025,1.8,internal
TS00202,EMP006,PRJ021,16.06.2025,4.1,billable
TS00203,EMP017,PRJ029,26/02/2024,4.2,billable
TS00204,EMP022,PRJ020,23.01.2024,3.8,internal
TS00205,EMP014,PRJ023,2025-12-18,1.4,internal
TS00206,EMP010,PRJ027,03.07.2024,6.4,internal
TS00207,EMP013,PRJ029,21.01.2025,3.6,billable
TS00208,EMP012,PRJ008,2024-07-01,7.9,billable
TS00209,EMP001,PRJ002,01/11/2024,4.2,billable
TS00210,EMP008,PRJ030,20.12.2024,2.1,billable
TS00211,EMP022,PRJ027,2025-09-23,6.4,internal
TS00212,EMP020,PRJ003,2025-04-02,5.2,billable
TS00213,EMP015,PRJ015,2025-07-08,2.5,internal
TS00214,EMP008,PRJ021,14/08/2025,5.2,billable
TS00215,EMP022,PRJ034,14.08.2024,3.9,billable
TS00216,EMP006,PRJ028,23.07.2025,4.5,internal
TS00217,EMP011,PRJ027,24.02.2025,2.0,billable
TS00218,EMP010,PRJ010,21/04/2025,7.4,billable
TS00219,EMP008,PRJ017,29/07/2024,3.3,billable
TS00220,EMP024,PRJ013,22.02.2024,2.9,billable
TS00221,EMP025,PRJ014,05/05/2025,2.5,internal
TS00222,EMP007,PRJ008,05.05.2025,7.4,billable
TS00223,EMP018,PRJ021,16/10/2024,3.7,billable
TS00224,EMP016,PRJ030,10/04/2024,6.6,billable
TS00225,EMP014,PRJ003,2025-07-30,7.0,billable
TS00226,EMP019,PRJ027,29/10/2024,2.1,billable
TS00227,EMP018,PRJ022,20.09.2024,6.3,billable
TS00228,EMP006,PRJ023,2024-06-24,2.0,billable
TS00229,EMP021,PRJ004,20.06.2025,,internal
TS00230,EMP005,PRJ015,12.03.2024,6.0,billable
TS00231,EMP021,PRJ031,06.11.2025,4.4,billable
TS00232,EMP024,PRJ018,02.07.2025,7.8,billable
TS00233,EMP006,PRJ007,08.04.2024,4.7,billable
TS00234,EMP009,PRJ026,21.03.2024,3.6,billable
TS00235,EMP010,PRJ006,2025-10-31,7.9,billable
TS00236,EMP018,PRJ031,2024-02-27,5.5,billable
TS00237,EMP011,PRJ007,24.06.2025,7.4,billable
TS00238,EMP002,PRJ005,01.12.2025,7.5,internal
TS00239,EMP011,PRJ002,31.07.2024,5.1,internal
TS00240,EMP010,PRJ011,31/07/2025,2.7,internal
TS00241,EMP013,PRJ009,08/12/2025,6.1,billable
TS00242,EMP003,PRJ022,11/09/2025,6.4,internal
TS00243,EMP021,PRJ018,08/04/2025,4.4,billable
TS00244,EMP022,PRJ025,2024-03-28,6.4,billable
TS00245,EMP005,PRJ025,29/12/2025,6.5,billable
TS00246,EMP001,PRJ020,2025-03-31,3.5,billable
TS00247,EMP018,PRJ033,21.02.2025,1.7,billable
TS00248,EMP011,PRJ025,2024-01-15,3.0,billable
TS00249,EMP008,PRJ034,24/06/2024,5.8,billable
TS00250,EMP003,PRJ011,2025-03-21,2.9,billable
TS00251,EMP024,PRJ032,2025-09-02,5.3,billable
TS00252,EMP011,PRJ025,03.12.2024,4.1,billable
TS00253,EMP011,PRJ013,05/05/2025,3.2,internal
TS00254,EMP016,PRJ016,29/11/2024,3.6,internal
TS00255,EMP007,PRJ035,03.07.2024,5.8,billable
TS00256,EMP015,PRJ019,10/12/2025,1.5,internal
TS00257,EMP010,PRJ016,17/09/2024,5.6,billable
TS00258,EMP016,PRJ026,01.07.2025,4.5,internal
TS00259,EMP012,PRJ035,2025-09-02,5.5,billable
TS00260,EMP021,PRJ003,30/07/2025,7.9,billable
TS00261,EMP014,PRJ007,11.01.2024,1.7,billable
TS00262,EMP019,PRJ015,01.04.2025,3.6,billable
TS00263,EMP012,PRJ002,2025-05-09,1.7,billable
TS00264,EMP005,PRJ023,15.11.2024,3.4,internal
TS00265,EMP015,PRJ029,22.11.2024,1.5,billable
TS00266,EMP021,PRJ007,24.11.2025,6.6,internal
TS00267,EMP006,PRJ022,29/07/2025,4.0,billable
TS00268,EMP022,PRJ028,2025-02-11,1.2,billable
TS00269,EMP001,PRJ014,2024-07-29,2.9,billable
TS00270,EMP018,PRJ012,09/01/2025,3.3,billable
TS00271,EMP021,PRJ021,2025-09-03,3.7,billable
TS00272,EMP020,PRJ012,20.11.2025,5.9,billable
TS00273,EMP011,PRJ008,03.09.2024,3.1,billable
TS00274,EMP020,PRJ009,11.08.2025,3.7,billable
TS00275,EMP006,PRJ011,16/05/2025,3.0,billable
TS00276,EMP001,PRJ032,21.05.2024,2.4,billable
TS00277,EMP022,PRJ032,2025-03-03,6.0,billable
TS00278,EMP025,PRJ015,28/10/2024,1.2,billable
TS00279,EMP024,PRJ032,16/07/2025,4.6,billable
TS00280,EMP012,PRJ035,2024-02-12,6.3,billable
TS00281,EMP021,PRJ016,31/10/2024,7.1,billable
TS00282,EMP015,PRJ008,30.08.2024,2.5,billable
TS00283,EMP021,PRJ028,2024-06-18,5.3,internal
TS00284,EMP018,PRJ018,03.09.2025,4.8,billable
TS00285,EMP017,PRJ007,2024-05-20,7.7,internal
TS00286,EMP005,PRJ009,2024-09-12,2.0,billable
TS00287,EMP016,PRJ010,14/08/2025,5.4,billable
TS00288,EMP025,PRJ006,18/02/2025,4.6,billable
TS00289,EMP019,PRJ001,05.04.2024,6.1,billable
TS00290,EMP018,PRJ026,13/08/2024,7.8,internal
TS00291,EMP011,PRJ009,04.08.2025,7.0,internal
TS00292,EMP021,PRJ030,17/01/2024,1.9,internal
TS00293,EMP014,PRJ013,08/12/2025,7.4,internal
TS00294,EMP009,PRJ006,03.11.2025,3.5,billable
TS00295,EMP013,PRJ020,2025-12-17,,billable
TS00296,EMP016,PRJ005,15/05/2024,5.2,
TS00297,EMP004,PRJ028,11/12/2025,1.9,billable
TS00298,EMP004,PRJ021,2025-01-13,7.2,billable
TS00299,EMP003,PRJ034,30/07/2025,1.1,billable
TS00300,EMP024,PRJ010,2025-02-25,5.3,billable
TS00300,EMP024,PRJ010,2025-02-25,5.3,billable
TS00301,EMP025,PRJ008,26/08/2025,6.1,billable
TS00302,EMP009,PRJ006,11.09.2024,4.9,billable
TS00303,EMP001,PRJ020,29.07.2024,4.6,billable
TS00304,EMP008,PRJ032,30.01.2025,1.8,billable
TS00305,EMP001,PRJ024,20.11.2024,1.9,internal
TS00306,EMP006,PRJ031,15/03/2024,1.1,billable
TS00307,EMP013,PRJ033,22/10/2024,5.4,billable
TS00308,EMP021,PRJ035,04/07/2025,5.3,billable
TS00309,EMP005,PRJ035,02.12.2024,3.7,billable
TS00310,EMP023,PRJ028,03/09/2024,1.4,billable
TS00311,EMP002,PRJ020,2025-11-13,6.2,
TS00312,EMP001,PRJ011,23.05.2025,7.7,billable
TS00313,EMP024,PRJ018,30/04/2024,6.4,billable
TS00314,EMP023,PRJ005,23/05/2025,4.2,billable
TS00315,EMP006,PRJ017,2024-04-15,7.3,billable
TS00316,EMP002,PRJ001,2024-09-09,1.3,billable
TS00317,EMP002,PRJ027,19.08.2024,3.3,billable
TS00318,EMP019,PRJ024,2024-05-02,4.5,internal
TS00319,EMP002,PRJ026,11/03/2024,7.1,internal
TS00320,EMP001,PRJ024,24.07.2024,3.0,internal
TS00321,EMP019,PRJ032,2024-07-19,6.1,billable
TS00322,EMP001,PRJ015,2025-07-08,,internal
TS00323,EMP022,PRJ025,2024-11-12,1.7,billable
TS00324,EMP005,PRJ018,05.04.2024,1.3,billable
TS00325,EMP015,PRJ006,19/08/2025,1.7,billable
TS00326,EMP014,PRJ009,30/08/2024,3.0,internal
TS00327,EMP011,PRJ029,2024-10-07,2.6,internal
TS00328,EMP005,PRJ007,2024-06-17,4.1,billable
TS00329,EMP007,PRJ029,2024-11-11,4.2,internal
TS00330,EMP023,PRJ003,2024-08-08,6.9,billable
TS00331,EMP013,PRJ033,2024-02-20,5.7,billable
TS00332,EMP015,PRJ016,2024-04-08,4.2,internal
TS00333,EMP025,PRJ015,13.05.2024,2.4,billable
TS00334,EMP019,PRJ017,19.03.2024,1.2,billable
TS00335,EMP011,PRJ008,13.02.2024,7.6,billable
TS00336,EMP016,PRJ002,2025-01-28,5.8,billable
TS00337,EMP015,PRJ010,05.02.2024,5.3,billable
TS00338,EMP018,PRJ031,05/03/2024,1.6,billable
TS00339,EMP017,PRJ016,2025-10-07,8.0,billable
TS00340,EMP012,PRJ031,11.07.2025,6.5,billable
TS00341,EMP006,PRJ002,22/11/2024,5.2,billable
TS00342,EMP017,PRJ023,2025-08-21,8.0,internal
TS00343,EMP018,PRJ004,12/08/2024,5.0,internal
TS00344,EMP006,PRJ012,30.08.2024,5.1,internal
TS00345,EMP023,PRJ023,2025-08-04,4.9,billable
TS00346,EMP016,PRJ035,2024-11-12,2.2,billable
TS00347,EMP017,PRJ031,2024-01-01,3.3,billable
TS00348,EMP011,PRJ004,2024-01-23,2.0,billable
TS00349,EMP012,PRJ005,17.01.2025,5.9,billable
TS00350,EMP005,PRJ011,25.03.2025,6.5,internal
TS00351,EMP018,PRJ023,16/08/2024,5.7,internal
TS00352,EMP005,PRJ012,02/01/2024,7.6,internal
TS00353,EMP019,PRJ003,05.07.2024,5.2,internal
TS00354,EMP016,PRJ010,05/12/2024,6.2,billable
TS00355,EMP003,PRJ022,02.04.2025,1.1,billable
TS00356,EMP004,PRJ001,2024-02-19,3.7,billable
TS00357,EMP013,PRJ023,15.07.2025,3.6,internal
TS00358,EMP006,PRJ029,2024-03-18,6.6,billable
TS00359,EMP003,PRJ022,2024-06-25,7.2,billable
TS00360,EMP003,PRJ022,02.09.2025,7.9,internal
TS00361,EMP006,PRJ028,2024-06-11,1.4,billable
TS00362,EMP024,PRJ035,2024-09-30,5.6,billable
TS00363,EMP016,PRJ010,27/02/2024,3.5,billable
TS00364,EMP016,PRJ013,09/04/2024,1.2,billable
TS00365,EMP004,PRJ020,11/02/2025,4.3,internal
TS00366,EMP006,PRJ024,27/01/2025,3.6,billable
TS00367,EMP009,PRJ004,2024-06-03,6.3,billable
TS00368,EMP014,PRJ015,22.07.2025,1.4,billable
TS00369,EMP016,PRJ016,02.05.2025,3.1,billable
TS00370,EMP017,PRJ010,2024-05-03,7.6,billable
TS00371,EMP005,PRJ003,2025-03-11,1.5,billable
TS00372,EMP020,PRJ017,2024-11-25,7.4,internal
TS00373,EMP018,PRJ021,2024-10-09,4.6,internal
TS00374,EMP017,PRJ027,25.04.2024,3.9,billable
TS00375,EMP004,PRJ007,30.07.2025,6.5,internal
TS00376,EMP009,PRJ025,2025-11-03,4.4,billable
TS00377,EMP020,PRJ026,09.02.2024,3.8,internal
TS00378,EMP009,PRJ024,23/01/2024,3.4,internal
TS00379,EMP023,PRJ007,21/08/2024,1.9,internal
TS00380,EMP024,PRJ027,2025-09-11,5.5,billable
TS00381,EMP016,PRJ034,2025-01-17,6.7,billable
TS00382,EMP013,PRJ009,2025-06-20,7.2,billable
TS00383,EMP002,PRJ016,05.02.2024,4.2,internal
TS00384,EMP015,PRJ033,2025-02-10,5.4,billable
TS00385,EMP015,PRJ012,2025-04-30,5.1,billable
TS00386,EMP023,PRJ006,18.10.2024,1.2,billable
TS00387,EMP008,PRJ015,24.11.2025,2.4,billable
TS00388,EMP025,PRJ001,30.04.2025,7.4,billable
TS00389,EMP020,PRJ020,30/12/2025,7.8,billable
TS00390,EMP015,PRJ017,13.08.2024,4.3,billable
TS00391,EMP017,PRJ024,28/07/2025,5.5,billable
TS00392,EMP011,PRJ018,17.10.2025,3.3,billable
TS00393,EMP010,PRJ013,2024-06-04,4.6,billable
TS00394,EMP020,PRJ026,2025-11-07,3.2,billable
TS00395,EMP009,PRJ027,18.02.2025,3.7,billable
TS00396,EMP011,PRJ015,03.12.2025,4.7,internal
TS00397,EMP006,PRJ012,29/10/2024,1.7,billable
TS00398,EMP006,PRJ022,03.11.2025,1.6,billable
TS00399,EMP011,PRJ024,2024-09-23,5.1,billable
TS00400,EMP019,PRJ005,28.04.2025,7.2,billable
TS00400,EMP019,PRJ005,28.04.2025,7.2,billable
TS00401,EMP002,PRJ010,20.05.2024,7.9,billable
TS00402,EMP005,PRJ021,03.07.2024,6.5,billable
TS00403,EMP002,PRJ001,2025-04-07,2.9,internal
TS00404,EMP025,PRJ006,14/05/2024,5.3,billable
TS00405,EMP001,PRJ003,2025-06-30,2.4,billable
TS00406,EMP017,PRJ013,2024-01-19,5.7,billable
TS00407,EMP010,PRJ009,2024-04-15,3.7,billable
TS00408,EMP010,PRJ030,16.06.2025,5.2,billable
TS00409,EMP016,PRJ023,11/07/2024,2.2,
TS00410,EMP005,PRJ014,23/01/2024,5.1,billable
TS00411,EMP013,PRJ017,2025-07-01,5.4,billable
TS00412,EMP001,PRJ004,2025-12-09,1.8,billable
TS00413,EMP005,PRJ014,12/12/2025,5.8,billable
TS00414,EMP009,PRJ009,04.03.2025,6.8,billable
TS00415,EMP004,PRJ032,22.07.2024,5.3,internal
TS00416,EMP014,PRJ019,2024-06-13,1.3,billable
TS00417,EMP008,PRJ001,16.01.2024,5.7,internal
TS00418,EMP003,PRJ033,19/03/2024,6.1,billable
TS00419,EMP010,PRJ017,2025-04-22,1.4,internal
TS00420,EMP022,PRJ021,2025-03-12,6.2,
TS00421,EMP021,PRJ011,02.12.2024,3.5,billable
TS00422,EMP012,PRJ022,08/07/2024,1.8,billable
TS00423,EMP016,PRJ027,2025-10-28,7.2,billable
TS00424,EMP006,PRJ007,04.03.2025,7.4,billable
TS00425,EMP013,PRJ023,18.09.2025,1.2,billable
TS00426,EMP016,PRJ008,25.02.2025,4.1,billable
TS00427,EMP022,PRJ034,13.08.2025,6.1,billable
TS00428,EMP023,PRJ007,19/03/2025,5.6,billable
TS00429,EMP005,PRJ004,12/01/2024,5.5,billable
TS00430,EMP003,PRJ032,2024-11-26,2.7,internal
TS00431,EMP013,PRJ026,28.08.2024,1.6,billable
TS00432,EMP015,PRJ021,2024-05-01,7.9,billable
TS00433,EMP018,PRJ001,03.04.2024,6.5,internal
TS00434,EMP007,PRJ030,2024-12-17,3.5,billable
TS00435,EMP025,PRJ031,2025-11-03,3.5,billable
TS00436,EMP011,PRJ023,10.10.2025,7.8,billable
TS00437,EMP006,PRJ032,23/05/2024,6.8,billable
TS00438,EMP007,PRJ008,2025-02-06,2.5,internal
TS00439,EMP014,PRJ003,10/10/2025,6.9,billable
TS00440,EMP017,PRJ009,27.05.2025,1.0,billable
TS00441,EMP016,PRJ033,2024-07-02,5.8,billable
TS00442,EMP020,PRJ021,02.06.2025,7.2,billable
TS00443,EMP009,PRJ026,2024-12-17,7.8,billable
TS00444,EMP024,PRJ033,04/11/2024,6.9,billable
TS00445,EMP021,PRJ014,24.07.2024,2.5,billable
TS00446,EMP023,PRJ012,30.05.2025,4.8,billable
TS00447,EMP016,PRJ027,21/11/2025,6.2,internal
TS00448,EMP001,PRJ034,19.04.2024,1.2,billable
TS00449,EMP006,PRJ019,02.12.2025,2.8,internal
TS00450,EMP018,PRJ003,02.01.2025,6.7,billable
TS00451,EMP024,PRJ025,02.09.2024,4.6,internal
TS00452,EMP013,PRJ025,04/03/2025,7.7,internal
TS00453,EMP024,PRJ017,26/07/2024,5.3,internal
TS00454,EMP023,PRJ024,25.08.2025,4.8,billable
TS00455,EMP006,PRJ005,2024-07-10,7.7,billable
TS00456,EMP018,PRJ017,2024-05-13,2.1,internal
TS00457,EMP005,PRJ003,06.06.2024,7.5,billable
TS00458,EMP016,PRJ023,2024-03-15,6.5,billable
TS00459,EMP017,PRJ011,03/03/2025,4.8,billable
TS00460,EMP011,PRJ022,06.01.2025,3.1,internal
TS00461,EMP025,PRJ001,29.04.2024,5.7,billable
